"","participant","Acc","Trial","TrialIndex","RT","MDT.ability","MPT.ability","Monolingual","gmsi","pairType","musician"
"251","21",0,21,12,0,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"252","21",0,9,19,2293.75,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"253","21",0,10,10,4279.405,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"254","21",0,11,13,0,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"255","21",0,12,17,0,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"vowelMP","0"
"256","21",1,13,15,4926.79,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"257","21",0,0,7,4271.41,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"consMP","0"
"258","21",1,1,16,3097.77,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"259","21",0,2,21,2182.985,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"consMP","0"
"260","21",0,3,14,2512.69,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"consMP","0"
"261","21",0,4,23,2518.785,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"262","21",0,5,2,2554.685,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"263","21",1,22,3,4853.215,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"264","21",1,23,5,687.64,-2.28819219821053,-0.387620872261004,"0",-0.436040172681752,"nonMP","0"
"265","22",0,9,9,0,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"vowelMP","1"
"266","22",0,10,11,1221.305,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"consMP","1"
"267","22",0,22,12,4013.575,-0.997928030774851,-0.507562505670838,"0",-0.408052998568674,"nonMP","1"
